Field=#~Integer~#~50|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Manufacturer~String~Manufacturer~100|Field=Description~String~Description~100|Field=Quantity~Integer~Quantity~100|Field=Designator~String~Designator~100|ReportField=Currency~USD|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LPRAN.PrjPcb|ReportField=ProjectFullPath~C:\Users\Anh Luong\Desktop\LPRAN\LPRAN.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [LPRAN.BomDoc]|ReportField=TotalQuantity~140|ReportField=ReportTime~10:56:49 AM|ReportField=ReportDate~9/27/2017|ReportField=ReportDateTime~9/27/2017 10:56:49 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~4720 Forbes Ave|ReportField=Address2~CIC 2219F|ReportField=Address3~Pittsburgh, PA 15213|ReportField=Address4~USA|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~WiSE Lab|ReportField=CurrentDate~9/27/2017|ReportField=CurrentTime~10:51:55 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Anh Luong\Desktop\LPRAN\FPGA.SchDoc|ReportField=DocumentName~FPGA.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~Anh Luong|ReportField=ImagePath~|ReportField=ModifiedDate~9/23/2017|ReportField=Organization~Carnegie Mellon University|ReportField=ProjectName~LPRAN.PrjPcb|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~2|ReportField=SheetTotal~4|ReportField=Time~|ReportField=Title~FPGA|ReportField=DataSourceFileName~LPRAN.BomDoc|ReportField=DataSourceFullPath~C:\Users\Anh Luong\Desktop\LPRAN\LPRAN.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|U.FL-R-SMT(01)|Hirose Electric Co Ltd|CONN UMC JACK STR 50 OHM SMD|4|A1, A2, A3, A4
2|GRM155R71C104KA88D|Murata Electronics North America|CAP CER 0.1UF 16V X7R 0402|23|C1, C3, C5, C6, C7, C8, C9, C16, C17, C18, C19, C20, C21, C22, C23, C44, C47, C48, C49, C70, C73, C74, C76
3|GRM155R71E103KA01D|Murata Electronics North America|CAP CER 10000PF 25V X7R 0402|17|C2, C10, C11, C12, C13, C14, C24, C25, C26, C27, C28, C29, C30, C31, C32, C46, C72
4|GRM155R60J106ME15D|Murata Electronics North America|CAP CER 10UF 6.3V X5R 0402|6|C4, C15, C51, C56, C78, C82
5|GRM188R60J475KE19D|Murata Electronics North America|CAP CER 4.7UF 6.3V 10% X5R 0603|1|C33
6|GRM188C81C106MA73D|Murata Electronics North America|CAP CER 10UF 16V 20% X6S 0603|2|C34, C88
7|GRM188R71C334KA01D|Murata Electronics North America|CAP CER 0.33UF 16V X7R 0603|1|C35
8|GRM1555C1H100FA01D|Murata Electronics North America|CAP CER 10PF 50V C0G/NP0 0402|2|C36, C40
9|GRM1555C1H3R3CA01D|Murata Electronics North America|CAP CER 3.3PF 50V C0G/NP0 0402|2|C37, C38
10|GRM1555C1H330JA01D|Murata Electronics North America|CAP CER 33PF 50V C0G/NP0 0402|2|C39, C64
11|GRM1555C1H2R7BA01D|Murata Electronics North America|CAP CER 2.7PF 50V C0G/NP0 0402|1|C41
12|GRM1555C1H5R6CA01D|Murata Electronics North America|CAP CER 5.6PF 50V C0G/NP0 0402|1|C42
13|GRM155R60J105KE19D|Murata Electronics North America|CAP CER 1UF 6.3V X5R 0402|8|C43, C45, C50, C52, C69, C71, C75, C77
14|GRM1555C1H8R2CA01D|Murata Electronics North America|CAP CER 8.2PF 50V C0G/NP0 0402|4|C53, C54, C79, C80
15|GRM1555C1H560JA01D|Murata Electronics North America|CAP CER 56PF 50V C0G/NP0 0402|5|C55, C58, C60, C61, C81
